URL,Pathophysiological Process,Subject,Predicate,Object
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,SARS-CoV-2_infection,causes,hypoxia
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,Hypoxia,leads_to,ischemia
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,Ischemia,results_in,neurodegeneration
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,SARS-CoV-2_infection,triggers,microglia_activation
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,Microglia_activation,causes,astrocyte_activation
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,Cytotoxic_T_lymphocyte_infiltration,leads_to,neurocognitive_deficits
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,SARS-CoV-2_infection,affects,olfactory_sensory_neuron
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,Olfactory_sensory_neuron,involves,anosmia
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,Olfactory_ectomesenchymal_stem_cells,are_affected_by,SARS-CoV-2_infection
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,SARS-CoV-2_infection,causes,gut_dysbiosis
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,Gut_dysbiosis,affects,dopamine_decarboxylase
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,ACE2_receptor,is_involved_in,gut_dysbiosis
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,COVID-19,affects,circumventricular_organs
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,Lockdown_Psychosocial_Stress,induces,glial_cells_activation
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,COVID-19,causes,peripheral_inflammation
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,Peripheral_inflammation,releases,inflammatory_cytokines
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,Inflammatory_cytokines,activate,HPA
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,HPA,influences,glial_cells_activation
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,Glial_cells_activation,contributes_to,neuropsychiatric_disorders
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,Molecular_Mimicry,SARS-CoV-2,mimics,CNS_epitopes
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,Leukocyte_Migration,Pro-inflammatory_lung_environment,affects,leukocyte_migration_to_CNS
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,Gut_Microbiota_Dysbiosis,SARS-CoV-2,causes,gut_microbiota_dysbiosis
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,BBB_Disruption,SARS-CoV-2,triggers,BBB_disruption
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,Th1/Th17_Polarization,SARS-CoV-2,induces,Th1/Th17_polarization
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,NLRP3_Activation,SARS-CoV-2,activates,NLRP3
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,Microglia_Infection,SARS-CoV-2,infects,microglia
